Date,median of the 100 ensemble member time series,,,
Jun-17,-0.357,,,
Jul-17,-0.122,,,
Aug-17,-0.226,,,
Sep-17,-0.125,,,
Oct-17,-0.385,,,
Nov-17,-0.386,,,
Dec-17,-0.635,,,
Jan-18,-0.501,,,
Feb-18,-0.514,,,
Mar-18,-0.445,,,
Apr-18,-0.49,,,
May-18,-0.426,,,
Jun-18,-0.329,,,
Jul-18,-0.336,,,
Aug-18,-0.358,,,
Sep-18,-0.243,,,
Oct-18,-0.095,,,
Nov-18,-0.05,,,
Dec-18,-0.232,,,
Jan-19,-0.106,,,
Feb-19,-0.085,,,
Mar-19,-0.306,,,
Apr-19,-0.072,,,
May-19,-0.255,,,
Jun-19,-0.252,,,
Jul-19,-0.362,,,
Aug-19,-0.336,,,
Sep-19,-0.239,,,
Oct-19,-0.296,,,
Nov-19,-0.532,,,
Dec-19,-0.46,,,
Jan-20,-0.239,,,
Feb-20,-0.427,,,
Mar-20,-0.119,,,
Apr-20,-0.264,,,
May-20,-0.2,,,
Jun-20,-0.211,,,
Jul-20,-0.285,,,
Aug-20,-0.233,,,
Sep-20,-0.139,,,
Oct-20,-0.233,,,
Nov-20,-0.289,,,
Dec-20,-0.358,,,
Jan-21,-0.141,,,
Feb-21,-0.183,,,
Mar-21,-0.249,,,
Apr-21,-0.22,,,
May-21,-0.203,,,
Jun-21,-0.121,,,
Jul-21,-0.14,,,
Aug-21,-0.283,,,
Sep-21,-0.165,,,
Oct-21,-0.142,,,
Nov-21,-0.301,,,
Dec-21,-0.147,,,
Jan-22,-0.387,,,
Feb-22,-0.275,,,
Mar-22,-0.267,,,
Apr-22,-0.235,,,
May-22,-0.371,,,
Jun-22,-0.324,,,
Jul-22,-0.229,,,
Aug-22,-0.348,,,
Sep-22,-0.282,,,
Oct-22,-0.33,,,
Nov-22,-0.292,,,
Dec-22,-0.308,,,
Jan-23,-0.237,,,
Feb-23,-0.419,,,
Mar-23,-0.412,,,
Apr-23,-0.36,,,
May-23,-0.319,,,
Jun-23,-0.243,,,
Jul-23,-0.352,,,
Aug-23,-0.377,,,
Sep-23,-0.327,,,
Oct-23,-0.27,,,
Nov-23,-0.021,,,
Dec-23,-0.014,,,
Jan-24,-0.315,,,
Feb-24,-0.204,,,
Mar-24,-0.271,,,
Apr-24,-0.283,,,
May-24,-0.245,,,
Jun-24,-0.214,,,
Jul-24,-0.263,,,
Aug-24,-0.284,,,
Sep-24,-0.284,,,
Oct-24,-0.316,,,
Nov-24,-0.361,,,
Dec-24,-0.53,,,
Jan-25,-0.403,,,
Feb-25,-0.308,,,
Mar-25,-0.23,,,
Apr-25,-0.273,,,
May-25,-0.256,,,
Jun-25,-0.257,,,
Jul-25,-0.214,,,
Aug-25,-0.128,,,
Sep-25,-0.191,,,
Oct-25,-0.309,,,
Nov-25,-0.063,,,
Dec-25,0.001,,,
Jan-26,0.086,,,
Feb-26,-0.042,,,
Mar-26,-0.028,,,
Apr-26,-0.176,,,
May-26,-0.217,,,
Jun-26,-0.087,,,
Jul-26,-0.239,,,
Aug-26,-0.09,,,
Sep-26,-0.097,,,
Oct-26,-0.088,,,
Nov-26,-0.109,,,
Dec-26,-0.244,,,
Jan-27,-0.261,,,
Feb-27,-0.146,,,
Mar-27,-0.333,,,
Apr-27,-0.258,,,
May-27,-0.257,,,
Jun-27,-0.236,,,
Jul-27,-0.147,,,
Aug-27,-0.145,,,
Sep-27,-0.134,,,
Oct-27,-0.038,,,
Nov-27,-0.173,,,
Dec-27,-0.422,,,
Jan-28,-0.054,,,
Feb-28,-0.133,,,
Mar-28,-0.344,,,
Apr-28,-0.251,,,
May-28,-0.281,,,
Jun-28,-0.337,,,
Jul-28,-0.166,,,
Aug-28,-0.176,,,
Sep-28,-0.221,,,
Oct-28,-0.161,,,
Nov-28,-0.153,,,
Dec-28,-0.24,,,
